Be kind whenever possible. It is always possible.,Dalai Lama,motivational
Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.,Norman Vincent Peale,motivational
"A creative man is motivated by the desire to achieve, not by the desire to beat others.",Ayn Rand,motivational
"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",Jim Rohn,motivational
"If you're going through hell, keep going.",Winston Churchill,motivational
After a storm comes a calm.,Matthew Henry,motivational
You are never too old to set another goal or to dream a new dream.,C. S. Lewis,motivational
With the new day comes new strength and new thoughts.,Eleanor Roosevelt,motivational
"The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.",Confucius,motivational
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,Thomas A. Edison,motivational
"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.",Wayne Dyer,motivational
"Always do your best. What you plant now, you will harvest later.",Og Mandino,motivational
I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.,Ken Venturi,motivational
"Always continue the climb. It is possible for you to do whatever you choose, if you first get to know who you are and are willing to work with a power that is greater than ourselves to do it.",Ella Wheeler Wilcox,motivational
Expect problems and eat them for breakfast.,Alfred A. Montapert,motivational
Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller,motivational
"Learn from the past, set vivid, detailed goals for the future, and live in the only moment of time over which you have any control: now.",Denis Waitley,motivational
"If you can dream it, you can do it.",Walt Disney,motivational
Do you want to know who you are? Don't ask. Act! Action will delineate and define you.,Thomas Jefferson,motivational
"Even if you fall on your face, you're still moving forward.",Victor Kiam,motivational
"The key is to keep company only with people who uplift you, whose presence calls forth your best.",Epictetus,motivational
"By failing to prepare, you are preparing to fail.",Benjamin Franklin,motivational
You have to learn the rules of the game. And then you have to play better than anyone else.,Albert Einstein,motivational
Either you run the day or the day runs you.,Jim Rohn,motivational
Act as if what you do makes a difference. It does.,William James,motivational
"I know where I'm going and I know the truth, and I don't have to be what you want me to be. I'm free to be what I want.",Muhammad Ali,motivational
Be Impeccable With Your Word. Speak with integrity. Say only what you mean. Avoid using the word to speak against yourself or to gossip about others. Use the power of your word in the direction of truth and love.,Miguel Angel Ruiz,motivational
Determine never to be idle. No person will have occasion to complain of the want of time who never loses any. It is wonderful how much may be done if we are always doing.,Thomas Jefferson,motivational
Things do not happen. Things are made to happen.,John F. Kennedy,motivational
What you get by achieving your goals is not as important as what you become by achieving your goals.,Henry David Thoreau,motivational
Learning is the beginning of wealth. Learning is the beginning of health. Learning is the beginning of spirituality. Searching and learning is where the miracle process all begins.,Jim Rohn,motivational
The secret of getting ahead is getting started.,Mark Twain,motivational
Well done is better than well said.,Benjamin Franklin,motivational
"If you want to succeed you should strike out on new paths, rather than travel the worn paths of accepted success.",John D. Rockefeller,motivational
"We are taught you must blame your father, your sisters, your brothers, the school, the teachers - but never blame yourself. It's never your fault. But it's always your fault, because if you wanted to change you're the one who has got to change.",Katharine Hepburn,motivational
"Follow your dreams, work hard, practice and persevere. Make sure you eat a variety of foods, get plenty of exercise and maintain a healthy lifestyle.",Sasha Cohen,motivational
Always desire to learn something useful.,Sophocles,motivational
"If you want to conquer fear, don't sit home and think about it. Go out and get busy.",Dale Carnegie,motivational
"The more man meditates upon good thoughts, the better will be his world and the world at large.",Confucius,motivational
"Quality is not an act, it is a habit.",Aristotle,motivational
Be gentle to all and stern with yourself.,Saint Teresa of Avila,motivational
"Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.",Eileen Caddy,motivational
"If you ask me what I came into this life to do, I will tell you: I came to live out loud.",Emile Zola,motivational
I've worked too hard and too long to let anything stand in the way of my goals. I will not let my teammates down and I will not let myself down.,Mia Hamm,motivational
"Opportunity does not knock, it presents itself when you beat down the door.",Kyle Chandler,motivational
"Problems are not stop signs, they are guidelines.",Robert H. Schuller,motivational
"In order to succeed, we must first believe that we can.",Nikos Kazantzakis,motivational
True happiness involves the full use of one's power and talents.,John W. Gardner,motivational
"The harder the conflict, the more glorious the triumph.",Thomas Paine,motivational
"If you don't like how things are, change it! You're not a tree.",Jim Rohn,motivational
Your talent is God's gift to you. What you do with it is your gift back to God.,Leo Buscaglia,motivational
I'd rather attempt to do something great and fail than to attempt to do nothing and succeed.,Robert H. Schuller,motivational
What you do today can improve all your tomorrows.,Ralph Marston,motivational
Never complain and never explain.,Benjamin Disraeli,motivational
Setting goals is the first step in turning the invisible into the visible.,Tony Robbins,motivational
It's always too early to quit.,Norman Vincent Peale,motivational
The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.,Mark Caine,motivational
You can't build a reputation on what you are going to do.,Henry Ford,motivational
Who seeks shall find.,Sophocles,motivational
"Do your work with your whole heart, and you will succeed - there's so little competition.",Elbert Hubbard,motivational
"Set your goals high, and don't stop till you get there.",Bo Jackson,motivational
Know or listen to those who know.,Baltasar Gracian,motivational
What is called genius is the abundance of life and health.,Henry David Thoreau,motivational
The hardships that I encountered in the past will help me succeed in the future.,Philip Emeagwali,motivational
When you fail you learn from the mistakes you made and it motivates you to work even harder.,Natalie Gulbis,motivational
"Leap, and the net will appear.",John Burroughs,motivational
"The most effective way to do it, is to do it.",Amelia Earhart,motivational
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford,motivational
Begin to be now what you will be hereafter.,William James,motivational
"To know oneself, one should assert oneself.",Albert Camus,motivational
You need to overcome the tug of people against you as you reach for high goals.,George S. Patton,motivational
"Crave for a thing, you will get it. Renounce the craving, the object will follow you by itself.",Swami Sivananda,motivational
"You can never quit. Winners never quit, and quitters never win.",Ted Turner,motivational
"In motivating people, you've got to engage their minds and their hearts. I motivate people, I hope, by example - and perhaps by excitement, by having productive ideas to make others feel involved.",Rupert Murdoch,motivational
Go for it now. The future is promised to no one.,Wayne Dyer,motivational
Perseverance is not a long race it is many short races one after the other.,Walter Elliot,motivational
Motivation is the art of getting people to do what you want them to do because they want to do it.,Dwight D. Eisenhower,motivational
Fear cannot be without hope nor hope without fear.,Baruch Spinoza,motivational
Perseverance is failing 19 times and succeeding the 20th.,Julie Andrews,motivational
Go big or go home. Because it's true. What do you have to lose?,Eliza Dushku,motivational
"I can, therefore I am.",Simone Weil,motivational
You can't wait for inspiration. You have to go after it with a club.,Jack London,motivational
Only the educated are free.,Epictetus,motivational
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.",Woodrow Wilson,motivational
Small deeds done are better than great deeds planned.,Peter Marshall,motivational
Wherever you are - be all there.,Jim Elliot,motivational
"No matter how many goals you have achieved, you must set your sights on a higher one.",Jessica Savitch,motivational
To be wholly devoted to some intellectual exercise is to have succeeded in life.,Robert Louis Stevenson,motivational
To be a good loser is to learn how to win.,Carl Sandburg,motivational
"Without hard work, nothing grows but weeds.",Gordon B. Hinckley,motivational
"I learned that we can do anything, but we can't do everything... at least not at the same time. So think of your priorities not in terms of what activities you do, but when you do them. Timing is everything.",Dan Millman,motivational
The wise does at once what the fool does at last.,Baltasar Gracian,motivational
We make the world we live in and shape our own environment.,Orison Swett Marden,motivational
"I've found that luck is quite predictable. If you want more luck, take more chances. Be more active. Show up more often.",Brian Tracy,motivational
"Be thine own palace, or the world's thy jail.",John Donne,motivational
You can't expect to hit the jackpot if you don't put a few nickels in the machine.,Flip Wilson,motivational
"The will to succeed is important, but what's more important is the will to prepare.",Bobby Knight,motivational
"I really believe that everyone has a talent, ability, or skill that he can mine to support himself and to succeed in life.",Dean Koontz,motivational
"If you've got a talent, protect it.",Jim Carrey,motivational
"The weeds keep multiplying in our garden, which is our mind ruled by fear. Rip them out and call them by name.",Sylvia Browne,motivational
Poverty was the greatest motivating factor in my life.,Jimmy Dean,motivational
I was motivated to be different in part because I was different.,Donna Brazile,motivational
One way to keep momentum going is to have constantly greater goals.,Michael Korda,motivational
"The ultimate aim of the ego is not to see something, but to be something.",Muhammad Iqbal,motivational
The dog that trots about finds a bone.,Golda Meir,motivational
"If you think you can do it, you can.",John Burroughs,motivational
One may miss the mark by aiming too high as too low.,Thomas Fuller,motivational
Do not weep do not wax indignant. Understand.,Baruch Spinoza,motivational
There is nothing deep down inside us except what we have put there ourselves.,Richard Rorty,motivational
You never know what motivates you.,Cicely Tyson,motivational
Big shots are only little shots who keep shooting.,Christopher Morley,motivational
